query_image,type,clip_result_1,clip_result_2,clip_result_3,clip_result_4,clip_result_5,clip_result_6,clip_result_7,clip_result_8,clip_result_9,clip_result_10,siamese_result_1,siamese_result_2,siamese_result_3,siamese_result_4,siamese_result_5,siamese_result_6,siamese_result_7,siamese_result_8,siamese_result_9,siamese_result_10
001_d2c7428a.jpg,good,356_efd8fc80.jpg,216_8570669c.jpg,019_61d9365b.jpg,078_abdcd606.jpg,229_c8c54b60.jpg,012_f54e5947.jpg,161_ecee3bf9.jpg,355_a1185a91.jpg,073_d9fb51c3.jpg,297_e9c8dc5c.jpg,021_25ad37e4.jpg,238_223f3e13.jpg,190_48347536.jpg,163_83960f4c.jpg,324_b65d6469.jpg,216_8570669c.jpg,010_0e38a333.jpg,031_a6f9a9fe.jpg,136_976f1a71.jpg,419_b4f308b3.jpg
363_12412886.jpg,good,106_253755c1.jpg,096_0dc661af.jpg,203_686226e0.jpg,196_95e8f791.jpg,024_74f0858b.jpg,272_3262745c.jpg,040_6ddfd3e7.jpg,122_ddafaefd.jpg,010_0e38a333.jpg,042_636dd3d3.jpg,061_0e8f4935.jpg,068_dc83e73a.jpg,273_95a29a86.jpg,233_ca38f1ee.jpg,131_1251d4eb.jpg,186_ab31fc0e.jpg,236_8b82502f.jpg,020_b90927d1.jpg,043_0c48915e.jpg,114_dd2dcd98.jpg
